The ground state energy found for rmin = 0.0001 and rmax = 8 with acc = 0.01:
Calculated:    -0.50003223916033 Hartree
Exact:         -0.5 Hartree (given in exercise).




0.0001    9.999E-05
0.0238514443873546    0.0232893095859334
0.0467215765465319    0.0445889872234999
0.0691292325749597    0.0645120122211824
0.091312405480709    0.0833440814830495
0.113416835710337    0.101256472030308
0.135535085431515    0.118356267676338
0.15772831965861    0.134713429054281
0.180039041972724    0.150376012833189
0.202498733556361    0.165378917037261
0.225132514280906    0.179748969364463
0.247962026575825    0.193507907672785
0.271007245428652    0.206674130052404
0.294287635194517    0.219263720609654
0.317822908133304    0.231291046209917
0.341633540372948    0.242769097574365
0.365741140813469    0.253709676973306
0.390168731675259    0.26412349297114
0.414940976780509    0.274020198083837
0.440084379764819    0.283408390754127
0.465627465949613    0.292295594597973
0.491600956570003    0.300688222985106
0.518037941238943    0.30859153423023
0.544974053201829    0.316009581111616
0.572447651641943    0.322945157561826
0.60050001574311    0.329399744855134
0.629175556198076    0.33537345923605
0.658522051217248    0.340865002562533
0.688590915726558    0.345871617103427
0.719437514267495    0.350389045103316
0.751121530097761    0.354411493113608
0.783707405171239    0.357931600412205
0.817264868159607    0.360940410131991
0.851869570656897    0.363427341025257
0.887603855464384    0.365380157130026
0.924557685767117    0.366784931979261
0.962829770584216    0.367626003386957
1.00252893075678    0.367885914214857
1.04377576180482    0.367545333806557
1.0867046664393    0.366582953886644
1.13146635205211    0.364975351552614
1.17823091956585    0.362696810399563
1.22719171319054    0.359719088637726
1.27857016123455    0.356011120066158
1.33262192418841    0.351538629662071
1.38964479008138    0.346263639969456
1.44998893741327    0.340143837001168
1.51407045182216    0.333131754635152
1.58238937870397    0.325173724536324
1.65555418738541    0.316208526028853
1.73431540767655    0.306165663261108
1.81961248483967    0.294963215094589
1.9126396084522    0.282505304984418
2.0149379213149    0.268679596072022
2.12852048954787    0.253356340059091
2.25602208690057    0.236393891488295
2.4008005739733    0.217665301807825
2.56669624960291    0.197144085649202
2.75670700206771    0.175111268806998
2.97019907050585    0.152420231157563
3.20166386851287    0.130372620646759
3.44413434390093    0.110078275629539
3.69308993726831    0.0920576908396664
3.94734685578126    0.0763491033121627
4.2082166798888    0.0627599604933536
4.4785764413203    0.0510389540225469
4.76236276904452    0.0409540099716686
5.06446980503844    0.0323166825841031
5.39095795142508    0.0249841321203454
5.74954655231834    0.0188549449810112
6.1504568197896    0.0138671142722833
6.60777995573136    0.0100058117556836
7.14163295530161    0.00733830776051829
7.7808583043057    0.00613314073288201
8    0.00615686642660621




0.0001    9.99900004999833E-05
0.0238514443873546    0.023289283809314
0.0467215765465319    0.0445888802405266
0.0691292325749597    0.0645118195682519
0.091312405480709    0.0833438023005969
0.113416835710337    0.101256105724254
0.135535085431515    0.118355813315442
0.15772831965861    0.134712885222263
0.180039041972724    0.150375377584842
0.202498733556361    0.165378187880738
0.225132514280906    0.179748143249172
0.247962026575825    0.193506980976972
0.271007245428652    0.206673098568572
0.294287635194517    0.219262579527094
0.317822908133304    0.231289790093916
0.341633540372948    0.24276772034165
0.365741140813469    0.253708171863262
0.390168731675259    0.264121852512281
0.414940976780509    0.274018414054943
0.440084379764819    0.283406454139432
0.465627465949613    0.292293495535717
0.491600956570003    0.300685950708719
0.518037941238943    0.308589077001348
0.544974053201829    0.316006926144053
0.572447651641943    0.322942290935521
0.60050001574311    0.329396651418989
0.629175556198076    0.335370122498402
0.658522051217248    0.340861404567809
0.688590915726558    0.345867738293267
0.719437514267495    0.350384864160136
0.751121530097761    0.354406986784123
0.783707405171239    0.35792674330792
0.817264868159607    0.360935174502986
0.851869570656897    0.363421696502736
0.887603855464384    0.365374070432012
0.924557685767117    0.366778366572459
0.962829770584216    0.367618919096034
1.00252893075678    0.367878266768107
1.04377576180482    0.367537074303955
1.0867046664393    0.366574028172369
1.13146635205211    0.364965699468883
1.17823091956585    0.362686364891545
1.22719171319054    0.359707774669606
1.27857016123455    0.355998853294987
1.33262192418841    0.351525314797044
1.38964479008138    0.346249168717122
1.44998893741327    0.340128085457483
1.51407045182216    0.333114579926562
1.58238937870397    0.325154960423227
1.65555418738541    0.316187977047596
1.73431540767655    0.30614309676459
1.81961248483967    0.294938350204589
1.9126396084522    0.282477796904034
2.0149379213149    0.268649013286904
2.12852048954787    0.253322130508914
2.25602208690057    0.236355331814324
2.4008005739733    0.217621422522568
2.56669624960291    0.197093570932472
2.75670700206771    0.175052359991234
2.97019907050585    0.152350713109255
3.20166386851287    0.130289909948611
3.44413434390093    0.109979449871248
3.69308993726831    0.0919393233565932
3.94734685578126    0.0762069064455457
4.2082166798888    0.0625882502981901
4.4785764413203    0.0508298649702887
4.76236276904452    0.0406962697159138
5.06446980503844    0.031993569452273
5.39095795142508    0.0245698584204593
5.74954655231834    0.0183078461238406
6.1504568197896    0.0131158945334948
6.60777995573136    0.00891934986849253
7.14163295530161    0.00565230699267578
7.7808583043057    0.00324970306863855
8    0.00268370102322009




0.5 -0.859827667492863
0.46875 -0.770244290039434
0.4375 -0.702590047191395
0.40625 -0.651245546092668
0.375 -0.612154059388312
0.34375 -0.582222237893293
0.3125 -0.559390950203219
0.28125 -0.54200768487164
0.25 -0.528874628638954
0.21875 -0.519088832353908
0.1875 -0.511958165381819
0.15625 -0.506940076506321
0.125 -0.503596093777236
0.09375 -0.501556719649166
0.0625 -0.500492853624411
0.03125 -0.500091273302133




2 -0.126141975940166
2.125 -0.19773845628432
2.25 -0.254584934554993
2.375 -0.30010676427367
2.5 -0.336844955779885
