Task B: Hydrogen atom. s-wave radial Schrodinger equation on a grid

The lowest eigenvalue (i.e. the ground state energy) of Hydrogen is found as
Calculated: -0.499 Hartree 
Exact: -0.5 Hartree
rmax = 10 Bohr radii
dr = 0.1 Bohr radii


1st eigenfunction of the hydrogen atom:
0 0 0
0.1 0.180549247307116 0.180967483607192
0.2 0.32678964490296 0.327492301231193
0.3 0.443610838961053 0.444490932409031
0.4 0.535283046166005 0.536256036828512
0.5 0.60553060376438 0.606530659712633
0.6 0.657597174965531 0.658573963312832
0.7 0.694303441422261 0.695219425307973
0.8 0.718098220239871 0.718926342587555
0.9 0.731103649625317 0.731825387533078
1 0.73515517176488 0.735758882342885
1.1 0.731836845199979 0.732316384135775
1.2 0.722512544510305 0.722866108589285
1.3 0.708353509084002 0.708582661888433
1.4 0.690362630938129 0.690471499036498
1.5 0.669395873856497 0.669390480445289
1.6 0.646181134068101 0.646068857582897
1.7 0.621334855622705 0.621123981779298
1.8 0.595376639568026 0.595075997597712
1.9 0.568742076096725 0.568360753046013
2 0.541794018357572 0.541341132946451
2.1 0.514832472905467 0.514316998662524
2.2 0.488103270976645 0.487533896794269
2.3 0.461805651054775 0.461190681124897
2.4 0.436098892024218 0.43544617578918
2.5 0.411108108037587 0.410424993119494
2.6 0.386929307457549 0.386222606714536
2.7 0.363633789698894 0.362909768794649
2.8 0.341271976618973 0.340536350701221
2.9 0.319876731199421 0.319134676327162
3 0.299466244312051 0.298722410207184
3.1 0.280046524220902 0.279305054840058
3.2 0.261613546423937 0.260878105461544
3.3 0.244155108899642 0.243428904848184
3.4 0.227652415863388 0.226938235730217
3.5 0.212081448924016 0.211381683956229
3.6 0.197414123051072 0.196730801620506
3.7 0.183619280397877 0.182954095880511
3.8 0.17066352470658 0.170017866106859
3.9 0.158511926016627 0.157886909277274
4 0.147128619767531 0.146525111109873
4.1 0.136477293487145 0.135895938294442
4.2 0.126521600733796 0.125962845292013
4.3 0.117225491000516 0.116689607504928
4.4 0.108553482069822 0.108040591147002
4.5 0.100470882512267 0.0999809688441808
4.6 0.0929439529241077 0.0924768888506289
4.7 0.0859400473408651 0.0854956047559407
4.8 0.0794276997897377 0.0790055716705922
4.9 0.0733767030442281 0.0729765140950585
5 0.0677581505961807 0.0673794699908547
5.1 0.0625444588755403 0.0621868149682595
5.2 0.0577093841914906 0.057372269975912
5.3 0.0532280056951217 0.0529108954132483
5.4 0.0490767239635551 0.0487790741802168
5.5 0.0452332216260641 0.0449544858231047
5.6 0.0416764417379788 0.0414160736246088
5.7 0.0383865450795942 0.0381440062151725
5.8 0.0353448675676677 0.0351196350463594
5.9 0.0325338812854531 0.0323254488614668
6 0.0299371374166059 0.0297450261199963
6.1 0.0275392303942044 0.0273629861777268
6.2 0.0253257369204764 0.0251649398900671
6.3 0.0232831757841504 0.0231374401905642
6.4 0.0213989519214765 0.0212679330966264
6.5 0.0196613128483743 0.0195447095087084
6.6 0.0180593018137398 0.0179568580956322
6.7 0.0165827091384909 0.0164942194958246
6.8 0.0152220302111837 0.0151473420106893
6.9 0.013968420631344 0.0139074389208694
7 0.0128136593647627 0.0127663475177632
7.1 0.0117501056548066 0.0117164899103758
7.2 0.0107706626253558 0.0107508356406242
7.3 0.00986873918232666 0.00986286611783012
